,experiment,kernel,disk_name,cpu_model,ncpus,mem_sys,boot_type,workload,input_size,host time,result,final_tick,host_inst_rate,host_mem_usage,host_op_rate,host_seconds,host_tick_rate,sim_freq,sim_insts,sim_ops,sim_seconds,sim_ticks,numCycles,numFpInsts,numIntInsts,numLoadInsts,numStoreInsts,numMemRefs,numIntAlu,numFpAlu,numSimdAlu,numSimdCrypto,avgRdQLen
10,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,kvm,2,MI_example,init,n/a,n/a,10.013466835021973,Success,3534357146293.0,451630532.0,4006296.0,451580447.0,2.03,1743786061533.0,1000000000000.0,915258181.0,915258181.0,3.534357,3534357146293.0,19718031402,0,0,0,0,0,0,0,0,0,0.0
11,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,simple,8,MI_example,systemd,n/a,n/a,18844.93000984192,Success,7951397488489.0,154357.0,15888224.0,324746.0,18824.77,422390047.0,1000000000000.0,2905738506.0,6113270745.0,7.951397,7951397488489.0,191015418318,76152737,5797613122,712038708,456100956,1168139664,4749345700,2111432,44557052,0,1.57
12,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,atomic,4,classic,init,n/a,n/a,1176.2124047279358,Success,1830358604538.0,753136.0,4009744.0,1756529.0,1170.53,1563700940.0,1000000000000.0,881568253.0,2056069623.0,1.830359,1830358604538.0,21986704523,21944,1871453673,174692154,129480712,304172866,1660628757,1297,11529,0,0.0
13,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,atomic,8,MESI_Two_Level,systemd,n/a,n/a,65.07232928276062,Unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
14,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,atomic,2,MI_example,init,n/a,n/a,5.0108208656311035,Unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
15,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,simple,4,classic,init,n/a,n/a,36005.57525062561,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
16,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,o3,8,MI_example,systemd,n/a,n/a,36008.255120038986,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
17,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,kvm,1,classic,init,n/a,n/a,5.011314868927002,Success,2856525488794.0,419102411.0,3392336.0,419058753.0,2.04,1400264954920.0,1000000000000.0,854858390.0,854858390.0,2.856525,2856525488794.0,7035093583,0,0,0,0,0,0,0,0,0,0.0
18,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,o3,2,MI_example,systemd,n/a,n/a,3708.9457762241364,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
19,npb with gem5-20.1,vmlinux-4.19.83,npb,timing,1,MESI_Two_Level,systemd,is.A.x,n/a,14262.318249225616,Success,18609432643631.0,487650.0,4131552.0,596215.0,14234.05,262086537.0,1000000000000.0,6941231750.0,8486549516.0,3.730553,3730553199181.0,11202862449,2797253,3761574149,595522665,345401328,940923993,2820592547,10475,72104,0,1.0
20,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,kvm,1,MESI_Two_Level,systemd,n/a,n/a,30.03116202354431,Success,12657815048134.0,363538516.0,3872812.0,363528715.0,7.8,1622043456061.0,1000000000000.0,2836831514.0,2836831514.0,12.657815,12657815048134.0,33003277241,0,0,0,0,0,0,0,0,0,0.0
21,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,64,MESI_Two_Level,systemd,ep.A.x,n/a,1986.7969224452972,Success,34827240210688.0,11201021129.0,6100032.0,11200542138.0,6.54,63307180803.0,1000000000000.0,73230128925.0,73230128925.0,0.41391,413910193815.0,72788803297,0,0,0,0,0,0,0,0,0,0.0
22,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,timing,2,MESI_Two_Level,systemd,dedup,simsmall,12100.343810081482,Success,21913540306553.0,495232.0,4250300.0,588813.0,12047.77,177443457.0,1000000000000.0,5966435147.0,7093886643.0,2.137797,2137797070993.0,12829880211,35829961,3120453905,594992059,319176661,914168720,2209499204,626043,1284104,0,1.0
23,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,kvm,2,MESI_Two_Level,systemd,n/a,n/a,40.04025459289551,Success,14370553718011.0,268530646.0,3885788.0,268526882.0,11.28,1273524593006.0,1000000000000.0,3030073143.0,3030073143.0,14.370554,14370553718011.0,77885178774,0,0,0,0,0,0,0,0,0,0.0
24,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,atomic,4,MESI_Two_Level,init,n/a,n/a,30.033170223236084,Unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
25,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,kvm,2,MESI_Two_Level,systemd,n/a,n/a,35.033039808273315,Success,16595406561088.0,284497568.0,3892368.0,284492711.0,10.74,1545110239973.0,1000000000000.0,3055615577.0,3055615577.0,16.595407,16595406561088.0,91476287718,0,0,0,0,0,0,0,0,0,0.0
26,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,16,MESI_Two_Level,systemd,mg.A.x,n/a,255.27919054031372,Success,21533828380237.0,2945980997.0,4196364.0,2945878638.0,6.48,162617615129.0,1000000000000.0,19100242379.0,19100242379.0,1.054373,1054373425812.0,42715764944,0,0,0,0,0,0,0,0,0,0.0
27,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,o3,2,MESI_Two_Level,systemd,n/a,n/a,36009.33667707443,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
28,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,1,MESI_Two_Level,systemd,blackscholes,simsmall,45.0399067401886,Success,15341463716797.0,37043852559.0,3868196.0,36965663295.0,0.1,456841911072.0,1000000000000.0,3800382066.0,3800382066.0,0.046981,46980551754.0,15542497142,0,0,0,0,0,0,0,0,0,0.0
29,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,atomic,8,MI_example,systemd,n/a,n/a,20.032349824905396,Unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
30,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,atomic,1,MESI_Two_Level,systemd,n/a,n/a,25.026029109954834,Unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
31,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,simple,8,MESI_Two_Level,init,n/a,n/a,3393.43168258667,Success,1987064582032.0,207587.0,4889512.0,528320.0,3344.91,594055682.0,1000000000000.0,694361768.0,1767183336.0,1.987065,1987064582032.0,47727722345,21888,1567752889,118381661,113429542,231811203,1440427472,1265,11537,0,1.0
32,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,atomic,2,classic,init,n/a,n/a,921.0146658420563,Success,1698378634953.0,786293.0,3856372.0,1740593.0,915.85,1854430836.0,1000000000000.0,720125437.0,1594120319.0,1.698379,1698378634953.0,10200690005,21369,1472864350,141142241,81072185,222214426,1326313578,1105,11529,0,0.0
33,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,8,MESI_Two_Level,systemd,raytrace,simsmall,110.10074543952942,Success,27623059900057.0,47442804527.0,4010372.0,47425871475.0,0.53,582894283668.0,1000000000000.0,25087213759.0,25087213759.0,0.308358,308357616717.0,179196634117,0,0,0,0,0,0,0,0,0,0.0
34,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,simple,8,MI_example,init,n/a,n/a,3238.2084918022156,Success,2129668716151.0,216231.0,5445100.0,550099.0,3216.34,662140166.0,1000000000000.0,695473858.0,1769306575.0,2.129669,2129668716151.0,51152820109,21841,1570014356,119227155,114000562,233227717,1441006698,1257,11529,0,1.05
35,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,1,MESI_Two_Level,systemd,x264,simsmall,40.04057955741882,Success,16392031466428.0,11973893996.0,3869988.0,11967494811.0,0.37,768789678770.0,1000000000000.0,4412333922.0,4412333922.0,0.28347,283470272973.0,16553431197,0,0,0,0,0,0,0,0,0,0.0
