,experiment,kernel,disk_name,param0,param1,param2,param3,host time,result,final_tick,host_inst_rate,host_mem_usage,host_op_rate,host_seconds,host_tick_rate,sim_freq,sim_insts,sim_ops,sim_seconds,sim_ticks,param4,param5
218,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,simple,MI_example,8,init,4294.015137434006,Success,2409263814844.0,227890.0,5604100.0,524873.0,4273.97,563706873.0,1000000000000.0,973994423.0,2243291235.0,2.409264,2409263814844.0,,
219,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,timing,dedup,simsmall,1,11940.78683590889,Success,767387409466304.0,592289.0,4159272.0,681138.0,11793.46,205738112.0,1000000000000.0,6985137094.0,8032978343.0,2.426364,2426364008200.0,,
220,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,timing,raytrace,simsmall,1,6475.589127779007,Success,24111721596548.0,3641377.0,4106532.0,3748916.0,6422.3,210017500.0,1000000000000.0,23386003138.0,24076653845.0,1.348795,1348794739117.0,,
221,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,atomic,classic,8,init,1426.312965631485,Success,1963820505708.0,783986.0,4359904.0,1728175.0,1414.03,1388814260.0,1000000000000.0,1108577195.0,2443685203.0,1.963821,1963820505708.0,,
222,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,simple,MESI_Two_Level,2,init,3668.323734521866,Success,2064607191469.0,199508.0,4461452.0,496699.0,3643.37,566674903.0,1000000000000.0,726882958.0,1809660384.0,2.064607,2064607191469.0,,
223,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,timing,raytrace,simsmall,2,6470.557436943054,Success,27532091907443.0,3687918.0,4205248.0,3796055.0,6413.36,209436939.0,1000000000000.0,23651941064.0,24345463793.0,1.343194,1343194358104.0,,
224,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,dedup,native,2,150.13591694831848,Success,95452685409358.0,1916644607.0,5232680.0,1916640155.0,66.4,758079532342.0,1000000000000.0,127273042677.0,127273042677.0,50.339717,50339716761465.0,,
225,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,simple,classic,1,init,1576.645144701004,Success,1653012795204.0,447382.0,3635600.0,1241377.0,1570.31,1052669376.0,1000000000000.0,702526684.0,1949341851.0,1.653013,1653012795204.0,,
226,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,o3,MESI_Two_Level,8,systemd,24126.780819892883,kernel panic,,,,,,,,,,,,,
227,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,kvm,MI_example,4,init,15.022898435592651,Success,4204250022853.0,406327772.0,4034416.0,406307314.0,3.15,1336246328442.0,1000000000000.0,1278361732.0,1278361732.0,4.20425,4204250022853.0,,
228,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,atomic,MI_example,2,init,5.029232740402222,Unknown failed,,,,,,,,,,,,,
229,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,simple,MI_example,1,init,2702.9403970241547,Success,2245603045105.0,235559.0,4974964.0,538798.0,2695.44,833110738.0,1000000000000.0,634935522.0,1452299731.0,2.245603,2245603045105.0,,
230,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,swaptions,simsmall,2,50.04507541656494,Success,18763028587603.0,8298172121.0,3891900.0,8296077205.0,0.68,781610697437.0,1000000000000.0,5617654997.0,5617654997.0,0.529298,529297541298.0,,
231,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,simple,MI_example,8,init,4044.455242395401,Success,2341320629707.0,227830.0,5632692.0,482815.0,4027.77,581294592.0,1000000000000.0,917648388.0,1944669423.0,2.341321,2341320629707.0,,
232,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,simple,classic,2,systemd,36006.02271556854,timeout,,,,,,,,,,,,,
233,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,atomic,classic,4,systemd,4269.054086685181,Success,3133605174750.0,649902.0,11821244.0,1401424.0,4259.68,735643170.0,1000000000000.0,2768374539.0,5969620885.0,3.133605,3133605174750.0,,
234,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,kvm,classic,4,systemd,20.023332118988037,Success,15354450886960.0,270645648.0,3464848.0,270640993.0,13.09,1173270216477.0,1000000000000.0,3541835508.0,3541835508.0,15.354451,15354450886960.0,,
235,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,dedup,simlarge,8,165.15575289726257,Success,54155591719147.0,1097568599.0,4120112.0,1097561679.0,42.18,695530986860.0,1000000000000.0,46296416794.0,46296416794.0,29.338327,29338326566073.0,,
236,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,streamcluster,simsmall,8,95.0876293182373,Success,20142393713398.0,11330010098.0,4007300.0,11324985796.0,0.57,583693220551.0,1000000000000.0,6440226071.0,6440226071.0,0.331948,331948153899.0,,
237,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,MESI_Two_Level,cg.A.x,32,720.685037612915,Success,30207421786555.0,2492261099.0,4690264.0,2492237198.0,21.78,122038861213.0,1000000000000.0,54284813275.0,54284813275.0,2.658202,2658201860277.0,,
238,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,kvm,MI_example,4,systemd,25.035258293151855,Success,15371844251518.0,252597027.0,3933004.0,252592693.0,13.0,1182183097013.0,1000000000000.0,3284435494.0,3284435494.0,15.371844,15371844251518.0,,
239,npb with gem5-20.1,vmlinux-4.19.83,npb,timing,MESI_Two_Level,is.A.x,16,20512.52721476555,Success,20634227480972.0,529156.0,4716556.0,610532.0,20358.81,17168880.0,1000000000000.0,10772994394.0,12429693570.0,0.349538,349537894552.0,,
240,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,kvm,classic,8,init,15.018900394439697,Success,4803322385818.0,469968406.0,3604952.0,469952654.0,4.25,1129403844637.0,1000000000000.0,1998686056.0,1998686056.0,4.803322,4803322385818.0,,
241,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,atomic,MESI_Two_Level,2,init,25.034518241882324,Unknown failed,,,,,,,,,,,,,
242,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,kvm,classic,4,init,10.020853042602539,Success,4336464320875.0,356299618.0,3446280.0,356280312.0,3.42,1269303585832.0,1000000000000.0,1217187410.0,1217187410.0,4.336464,4336464320875.0,,
243,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,dedup,simsmall,2,55.051997661590576,Success,21781421595847.0,3355043951.0,3892156.0,3354625844.0,1.8,813669702965.0,1000000000000.0,6040272830.0,6040272830.0,1.465109,1465108929162.0,,
244,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,simple,MESI_Two_Level,1,init,2882.7615060806274,Success,1960445777482.0,225839.0,4333928.0,510304.0,2859.66,685551752.0,1000000000000.0,645823337.0,1459296437.0,1.960446,1960445777482.0,,
245,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,simple,classic,4,init,36009.934988737106,timeout,,,,,,,,,,,,,
246,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,kvm,classic,1,init,5.010518312454224,Success,2895452106877.0,323645876.0,3393396.0,323609994.0,2.18,1329002755319.0,1000000000000.0,705024008.0,705024008.0,2.895452,2895452106877.0,,
247,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,simple,MI_example,2,systemd,16161.258038520813,Success,9322342543450.0,161321.0,13124400.0,353428.0,16151.78,577171210.0,1000000000000.0,2605620471.0,5708491181.0,9.322343,9322342543450.0,,
248,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,facesim,simsmall,2,75.07046365737915,Success,38652042834433.0,4562887626.0,3894972.0,4562741997.0,6.74,841357121807.0,1000000000000.0,30737823824.0,30737823824.0,5.668003,5668003342980.0,,
249,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,MESI_Two_Level,is.A.x,64,1326.4155204296112,Success,25749394763401.0,18374401385.0,6099004.0,18371993692.0,1.54,46972211170.0,1000000000000.0,28237594780.0,28237594780.0,0.072198,72197525205.0,,
250,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,o3,MI_example,4,systemd,36005.89575624466,timeout,,,,,,,,,,,,,
251,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,simple,MI_example,4,init,2747.960054397583,Success,1991668861144.0,197115.0,5092040.0,545264.0,2735.94,727964393.0,1000000000000.0,539296653.0,1491812309.0,1.991669,1991668861144.0,,
252,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,atomic,MESI_Two_Level,1,systemd,25.03708291053772,Unknown failed,,,,,,,,,,,,,
253,npb with gem5-20.1,vmlinux-4.19.83,npb,timing,MESI_Two_Level,ft.A.x,16,170056.29435110092,Success,23051826883217.0,195395.0,5425164.0,265465.0,169924.75,16728160.0,1000000000000.0,33202434335.0,45108998157.0,2.842528,2842528319308.0,,
254,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,simple,classic,4,systemd,36007.146319150925,timeout,,,,,,,,,,,,,
255,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,MESI_Two_Level,ep.A.x,8,75.07228803634644,Success,21685183411366.0,20530210753.0,4008216.0,20528684756.0,2.61,831395303443.0,1000000000000.0,53668363685.0,53668363685.0,2.173544,2173544102178.0,,
256,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,o3,classic,4,init,20.030680894851685,Unknown failed,,,,,,,,,,,,,
257,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,simple,MESI_Two_Level,2,init,3128.494479894638,Success,2003995828504.0,235485.0,4474172.0,502930.0,3100.25,646398204.0,1000000000000.0,730061312.0,1559208934.0,2.003996,2003995828504.0,,
258,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,atomic,MI_example,4,init,15.02384877204895,Unknown failed,,,,,,,,,,,,,
259,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,o3,classic,2,systemd,36005.91306185722,timeout,,,,,,,,,,,,,
260,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,facesim,native,2,775.653685092926,Success,789119853497407.0,3454838934.0,4096104.0,3454837858.0,619.34,839432465496.0,1000000000000.0,2139732767874.0,2139732767874.0,519.897405,519897404889621.0,,
261,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,o3,MI_example,2,init,4103.7264795303345,kernel panic,,,,,,,,,,,,,
262,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,streamcluster,simsmall,2,50.04339933395386,Success,19152418481929.0,10753694627.0,3891904.0,10749615019.0,0.47,771408571010.0,1000000000000.0,5000663719.0,5000663719.0,0.358884,358884021735.0,,
263,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,simple,MESI_Two_Level,8,systemd,15670.407978534698,Success,3676278741301.0,180723.0,13745572.0,379099.0,15614.5,235440077.0,1000000000000.0,2821893949.0,5919443529.0,3.676279,3676278741301.0,,
264,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,atomic,classic,8,init,1276.3500092029572,Success,1929450014604.0,893227.0,4395916.0,1772419.0,1267.59,1522135868.0,1000000000000.0,1132249205.0,2246707029.0,1.92945,1929450014604.0,,
265,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,o3,classic,2,systemd,15.024011135101318,Unknown failed,,,,,,,,,,,,,
266,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,simple,MI_example,8,init,3954.1970796585083,Success,2423319453802.0,247548.0,5695416.0,503670.0,3935.31,615788564.0,1000000000000.0,974180167.0,1982096278.0,2.423319,2423319453802.0,,
267,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,kvm,classic,4,systemd,36008.33781337738,timeout,,,,,,,,,,,,,
268,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,atomic,MI_example,4,init,10.015056371688843,Unknown failed,,,,,,,,,,,,,
269,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,atomic,MI_example,8,systemd,20.02174949645996,Unknown failed,,,,,,,,,,,,,
270,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,simple,MI_example,2,init,3038.3525426387787,Success,2160513115543.0,222053.0,5152100.0,501203.0,3028.44,713408231.0,1000000000000.0,672472370.0,1517863977.0,2.160513,2160513115543.0,,
271,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,MESI_Two_Level,sp.A.x,1,65.0759551525116,Success,45479878270993.0,4722870315.0,3876832.0,4722848495.0,37.01,883181876943.0,1000000000000.0,174801663151.0,174801663151.0,32.688271,32688271285056.0,,
272,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,atomic,classic,8,systemd,4404.199277162552,Success,3322541384748.0,690171.0,12688784.0,1465714.0,4391.86,756523258.0,1000000000000.0,3031129528.0,6437205603.0,3.322541,3322541384748.0,,
273,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,kvm,MI_example,1,systemd,15.015970230102539,Success,13853988709768.0,345685076.0,3981488.0,345675087.0,8.11,1707975809940.0,1000000000000.0,2803876357.0,2803876357.0,13.853989,13853988709768.0,,
274,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,vips,simlarge,1,50.057239055633545,Success,28150716094345.0,1822422434.0,3872040.0,1822405335.0,19.81,1421016062215.0,1000000000000.0,36102289619.0,36102289619.0,28.150716,28150716094345.0,,
275,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,atomic,MI_example,8,systemd,20.0253484249115,Unknown failed,,,,,,,,,,,,,
276,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,kvm,classic,4,systemd,20.025360345840454,Success,18248494931641.0,265631088.0,3470492.0,265626727.0,13.17,1386067529235.0,1000000000000.0,3497142571.0,3497142571.0,18.248495,18248494931641.0,,
277,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,o3,classic,8,init,36007.517770051956,timeout,,,,,,,,,,,,,
278,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,o3,MI_example,4,init,14173.310359477997,Success,1806629034861.0,113273.0,5438944.0,258718.0,14160.23,127584748.0,1000000000000.0,1603965043.0,3663506433.0,1.806629,1806629034861.0,,
279,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,o3,MI_example,1,systemd,36008.3441119194,timeout,,,,,,,,,,,,,
280,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,kvm,MI_example,2,systemd,20.028451204299927,Success,17588435069557.0,283416964.0,4010232.0,283410565.0,10.28,1710972455350.0,1000000000000.0,2913389666.0,2913389666.0,17.588435,17588435069557.0,,
281,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,o3,classic,8,init,20.02747893333435,Unknown failed,,,,,,,,,,,,,
282,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,o3,classic,1,systemd,14650.281246423721,kernel panic,,,,,,,,,,,,,
283,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,bodytrack,native,2,360.2969124317169,Success,326228709596140.0,3454752857.0,4833876.0,3454749338.0,223.78,843393256765.0,1000000000000.0,773089876900.0,773089876900.0,188.731172,188731171800108.0,,
284,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,kvm,MI_example,2,init,10.017638206481934,Success,3826268527042.0,394386787.0,3991792.0,394355292.0,2.66,1436127496306.0,1000000000000.0,1050664234.0,1050664234.0,3.826269,3826268527042.0,,
285,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,o3,MESI_Two_Level,4,systemd,36006.46498155594,timeout,,,,,,,,,,,,,
286,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,atomic,classic,4,init,970.9182193279266,Success,1707672391560.0,655237.0,3994248.0,1708342.0,964.82,1769944003.0,1000000000000.0,632184008.0,1648237846.0,1.707672,1707672391560.0,,
287,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,o3,MI_example,4,init,4053.96671462059,kernel panic,,,,,,,,,,,,,
288,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,dedup,native,8,250.21568322181702,Success,115399654853644.0,1257062795.0,5416172.0,1257059919.0,103.36,678842373049.0,1000000000000.0,129927823555.0,129927823555.0,70.164157,70164156630978.0,,
289,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,atomic,MESI_Two_Level,2,systemd,30.03151512145996,Unknown failed,,,,,,,,,,,,,
290,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,o3,MI_example,4,init,13009.569423437119,Success,1845366068385.0,134731.0,5421960.0,296398.0,12997.48,141978719.0,1000000000000.0,1751167204.0,3852431276.0,1.845366,1845366068385.0,,
291,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,timing,bodytrack,simsmall,2,4053.5043103694916,Success,20285318453591.0,1271212.0,4184764.0,1400437.0,4001.86,202266951.0,1000000000000.0,5087218693.0,5604356374.0,0.809445,809444826919.0,,
292,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,swaptions,simsmall,1,40.038880825042725,Success,15778394816662.0,8051920239.0,3868968.0,8049603433.0,0.67,803738391703.0,1000000000000.0,5365778938.0,5365778938.0,0.535796,535795961706.0,,
293,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,raytrace,simlarge,8,110.09247493743896,Success,29881609236577.0,11091795964.0,4010372.0,11090906562.0,2.8,694822730313.0,1000000000000.0,31030928063.0,31030928063.0,1.944051,1944050979690.0,,
294,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,simple,classic,1,systemd,5780.959539175034,Success,4132512066618.0,433407.0,9959492.0,976679.0,5778.19,715190894.0,1000000000000.0,2504311095.0,5643441867.0,4.132512,4132512066618.0,,
295,npb with gem5-20.1,vmlinux-4.19.83,npb,timing,MESI_Two_Level,ep.A.x,1,253272.0579380989,Success,70007237433920.0,205938.0,4451300.0,358502.0,253243.18,225958747.0,1000000000000.0,52152475201.0,90788196422.0,57.222512,57222512067475.0,,
296,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,kvm,classic,8,systemd,25.02746558189392,Success,19942705235431.0,278275229.0,3625472.0,278272455.0,16.4,1215698733930.0,1000000000000.0,4564863119.0,4564863119.0,19.942705,19942705235431.0,,
297,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,atomic,MI_example,2,init,10.01291799545288,Unknown failed,,,,,,,,,,,,,
298,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,atomic,MESI_Two_Level,4,systemd,35.037270069122314,Unknown failed,,,,,,,,,,,,,
299,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,swaptions,simsmall,8,105.09476089477539,Success,21067939486486.0,9864876157.0,4008324.0,9861689275.0,0.72,649677032297.0,1000000000000.0,7107757477.0,7107757477.0,0.468275,468275150772.0,,
300,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,o3,MESI_Two_Level,1,systemd,2207.458859205246,kernel panic,,,,,,,,,,,,,
301,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,kvm,MESI_Two_Level,4,init,35.03598499298096,Success,4166447550832.0,378920645.0,3889304.0,378897066.0,3.22,1292347251266.0,1000000000000.0,1221526750.0,1221526750.0,4.166448,4166447550832.0,,
302,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,kvm,classic,1,systemd,15.017739534378052,Success,12912870158713.0,290601218.0,3393392.0,290593524.0,9.26,1393797350780.0,1000000000000.0,2692198167.0,2692198167.0,12.91287,12912870158713.0,,
303,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,atomic,classic,2,init,775.7988524436951,Success,1663986773241.0,680708.0,3767944.0,1899154.0,769.85,2161454051.0,1000000000000.0,524040343.0,1462056302.0,1.663987,1663986773241.0,,
304,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,MESI_Two_Level,ft.A.x,32,412772.0149946213,Unknown failed,,,,,,,,,,,,,
305,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,simple,MI_example,2,systemd,15065.331758737564,Success,8851019757364.0,151579.0,12854728.0,339682.0,15055.51,587892434.0,1000000000000.0,2282095696.0,5114082310.0,8.85102,8851019757364.0,,
306,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,atomic,classic,1,systemd,4134.07647061348,Success,3371054052186.0,619194.0,10043620.0,1305219.0,4127.37,816756412.0,1000000000000.0,2555642102.0,5387117782.0,3.371054,3371054052186.0,,
307,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,simple,MI_example,1,init,2862.813665151596,Success,2258220332188.0,224836.0,4967592.0,508678.0,2853.81,791299061.0,1000000000000.0,641641168.0,1451673235.0,2.25822,2258220332188.0,,
308,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,atomic,classic,4,systemd,3979.0136835575104,Success,2739823265169.0,680788.0,11896224.0,1431515.0,3969.72,690181119.0,1000000000000.0,2702534985.0,5682709583.0,2.739823,2739823265169.0,,
309,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,simple,classic,1,init,1646.8584084510803,Success,1716519535893.0,552191.0,3699452.0,1291579.0,1641.68,1045586641.0,1000000000000.0,906521824.0,2120361223.0,1.71652,1716519535893.0,,
310,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,kvm,MESI_Two_Level,8,init,60.059436321258545,Success,5045313986650.0,455279906.0,3998624.0,455257559.0,4.55,1110029738323.0,1000000000000.0,2069223049.0,2069223049.0,5.045314,5045313986650.0,,
311,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,o3,MESI_Two_Level,2,systemd,3913.9444036483765,kernel panic,,,,,,,,,,,,,
312,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,simple,MI_example,8,systemd,19855.033821344376,Success,8164462207159.0,153464.0,15724644.0,320537.0,19831.99,411681365.0,1000000000000.0,3043487318.0,6356886279.0,8.164462,8164462207159.0,,
313,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,simple,MI_example,4,systemd,16211.208189487457,Success,7944840728146.0,147920.0,14083448.0,329004.0,16201.89,490364934.0,1000000000000.0,2396591309.0,5330490284.0,7.944841,7944840728146.0,,
314,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,simple,MI_example,2,init,2422.3384912014008,Success,1928694916792.0,190289.0,4928284.0,559986.0,2412.11,799589168.0,1000000000000.0,458997216.0,1350745317.0,1.928695,1928694916792.0,,
315,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,o3,MI_example,8,init,16112.12303352356,Unknown failed,,,,,,,,,,,,,
316,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,fluidanimate,native,1,605.509560585022,Success,531631473948748.0,2955671227.0,3908904.0,2955670364.0,567.52,907449408707.0,1000000000000.0,1677394912809.0,1677394912809.0,514.993523,514993523158809.0,,
317,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,simple,MI_example,1,systemd,17092.452263832092,Success,11772264798487.0,149480.0,12041020.0,327934.0,17084.57,689058496.0,1000000000000.0,2553804529.0,5602617276.0,11.772265,11772264798487.0,,
318,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,kvm,MESI_Two_Level,4,init,40.0490460395813,Success,3994480359829.0,417432183.0,3917968.0,417401862.0,3.09,1293696118113.0,1000000000000.0,1288775580.0,1288775580.0,3.99448,3994480359829.0,,
319,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,o3,MI_example,8,systemd,13624.90390253067,Unknown failed,,,,,,,,,,,,,
320,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,MESI_Two_Level,ft.A.x,16,255.25328874588013,Success,22700113455376.0,4315598199.0,4196364.0,4315477308.0,7.88,161657842091.0,1000000000000.0,34015406272.0,34015406272.0,1.274223,1274223457377.0,,
321,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,swaptions,native,2,465.3930311203003,Success,378230053777894.0,3414985297.0,3915452.0,3414983721.0,410.58,877035633619.0,1000000000000.0,1402119981883.0,1402119981883.0,360.092295,360092295184068.0,,
322,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,MESI_Two_Level,sp.A.x,32,395.458683013916,Success,25816542134815.0,13595053427.0,4688732.0,13594858018.0,14.73,461716289264.0,1000000000000.0,200201869215.0,200201869215.0,6.799381,6799380973506.0,,
323,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,facesim,simlarge,1,55.0507652759552,Success,29648181655153.0,6327342665.0,3872552.0,6327139407.0,4.81,898912665174.0,1000000000000.0,30446107943.0,30446107943.0,4.325579,4325578898526.0,,
324,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,bodytrack,native,1,300.24708366394043,Success,289456343930314.0,4008131261.0,4803772.0,4008126305.0,192.71,893202022681.0,1000000000000.0,772398693157.0,772398693157.0,172.127355,172127355166845.0,,
325,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,atomic,MESI_Two_Level,1,systemd,25.028240203857422,Unknown failed,,,,,,,,,,,,,
326,npb with gem5-20.1,vmlinux-4.19.83,npb,timing,MESI_Two_Level,cg.A.x,64,135291.6640238762,Success,28449823376324.0,258984.0,7726148.0,310837.0,133475.15,6737351.0,1000000000000.0,34567871936.0,41488975871.0,0.899269,899268972526.0,,
327,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,atomic,classic,2,systemd,4074.170074701309,Success,2750994565686.0,631580.0,10776228.0,1337801.0,4067.04,676411282.0,1000000000000.0,2568664480.0,5440897585.0,2.750995,2750994565686.0,,
328,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,simple,MESI_Two_Level,2,init,2998.2471952438354,Success,1938388868803.0,226687.0,4459580.0,512098.0,2970.79,652481721.0,1000000000000.0,673440827.0,1521336519.0,1.938389,1938388868803.0,,
329,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,simple,classic,1,systemd,6366.567779302597,Success,4315698747234.0,459458.0,10054360.0,971683.0,6361.48,678410618.0,1000000000000.0,2922835477.0,6181346418.0,4.315699,4315698747234.0,,
330,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,simple,classic,2,init,36007.20645952225,timeout,,,,,,,,,,,,,
331,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,o3,classic,1,init,8704.425153970718,Success,1586990936151.0,165129.0,3756416.0,383491.0,8697.43,182466675.0,1000000000000.0,1436200399.0,3335383196.0,1.586991,1586990936151.0,,
332,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,o3,MI_example,1,init,25.0279860496521,Unknown failed,,,,,,,,,,,,,
333,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,simple,classic,2,systemd,36006.638234615326,timeout,,,,,,,,,,,,,
334,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,simple,MI_example,1,init,2312.1103825569153,Success,1984850358139.0,183579.0,4809736.0,557873.0,2304.46,861309110.0,1000000000000.0,423049954.0,1285595835.0,1.98485,1984850358139.0,,
