,experiment,kernel,disk_name,param0,param1,param2,param3,host time,result,final_tick,host_inst_rate,host_mem_usage,host_op_rate,host_seconds,host_tick_rate,sim_freq,sim_insts,sim_ops,sim_seconds,sim_ticks,param4,param5
1998,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u18,o3,blackscholes,simsmall,2,560.4657900333405,Success,2483356001170654.0,114147336811.0,3995188.0,113926873471.0,0.1,536610904953.0,1000000000000.0,11285078972.0,11285078972.0,0.053171,53170902873.0,,
1999,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,simple,x264,simsmall,1,50.05600905418396,Success,110605739014531.0,137222096.0,3873048.0,137221140.0,36.71,3012716932610.0,1000000000000.0,5037788738.0,5037788738.0,110.605739,110605739014531.0,,
2000,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,simple,swaptions,simsmall,8,140.12218141555786,Success,150909714707851.0,16946679981.0,4019712.0,16942227213.0,0.6,669405293847.0,1000000000000.0,10180424584.0,10180424584.0,0.402256,402255716292.0,,
2001,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u18,simple,ferret,simsmall,2,380.3286373615265,Success,1826825980573459.0,17379068696.0,3960632.0,17373278535.0,0.62,801820089932.0,1000000000000.0,10710496647.0,10710496647.0,0.494346,494345805687.0,,
2002,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,o3,bodytrack,simsmall,1,45.04729652404785,Success,111507115615651.0,22775621041.0,3872788.0,22758079488.0,0.27,712151290254.0,1000000000000.0,6153095010.0,6153095010.0,0.192568,192567578994.0,,
2003,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,o3,x264,simsmall,8,150.1282730102539,Success,150387978145672.0,75328895.0,4023040.0,75328783.0,117.54,1279407864882.0,1000000000000.0,8854519040.0,8854519040.0,150.387978,150387978145672.0,,
2004,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,raytrace,simsmall,2,40.03795003890991,Success,27275015033650.0,58065424193.0,3873752.0,58039994661.0,0.41,801110697865.0,1000000000000.0,23578662338.0,23578662338.0,0.325474,325473585615.0,,
2005,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,ferret,simlarge,2,45.04913592338562,Success,33346444708468.0,3290703181.0,3876824.0,3290627315.0,8.79,769953041194.0,1000000000000.0,28923932334.0,28923932334.0,6.767752,6767752149990.0,,
2006,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,freqmine,simsmall,2,35.039727449417114,Success,20797006347163.0,6258374497.0,3872724.0,6257002284.0,0.92,803147120731.0,1000000000000.0,5777744566.0,5777744566.0,0.741655,741654949320.0,,
2007,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,facesim,simlarge,1,40.03628849983215,Success,29859663350764.0,6160086316.0,3859384.0,6159854845.0,4.93,906840266602.0,1000000000000.0,30388756078.0,30388756078.0,4.473799,4473799473249.0,,
2008,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,swaptions,simlarge,1,35.0372416973114,Success,22722019538032.0,3823046876.0,3857332.0,3822959358.0,8.25,886154899826.0,1000000000000.0,31530119347.0,31530119347.0,7.30865,7308649624077.0,,
2009,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,simple,freqmine,simsmall,1,135.11714220046997,Success,727103038179619.0,9678296115.0,3892504.0,9676343731.0,0.87,861916617191.0,1000000000000.0,8422809135.0,8422809135.0,0.750279,750279094542.0,,
2010,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,fluidanimate,simlarge,8,65.0630087852478,Success,24417777433348.0,3755518985.0,3978908.0,3755333239.0,3.98,723534233696.0,1000000000000.0,14960486283.0,14960486283.0,2.88243,2882430205146.0,,
2011,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,o3,dedup,simsmall,8,145.14229774475098,Success,151422174235684.0,4795397678.0,4026112.0,4795012562.0,2.25,663177399279.0,1000000000000.0,10767785008.0,10767785008.0,1.489266,1489266307602.0,,
2012,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,streamcluster,simsmall,8,60.058385610580444,Success,21301978917115.0,11650298992.0,3977884.0,11645152802.0,0.56,564628103124.0,1000000000000.0,6471270488.0,6471270488.0,0.313795,313794617607.0,,
2013,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u18,simple,facesim,simsmall,2,55.054057598114014,Success,39293772679216.0,4793207351.0,3883832.0,4793053183.0,6.5,852397545318.0,1000000000000.0,31146191743.0,31146191743.0,5.539075,5539075336710.0,,
2014,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,dedup,simlarge,1,50.05225396156311,Success,35746159182877.0,2537928452.0,3919848.0,2537902435.0,17.03,905125947157.0,1000000000000.0,43223619144.0,43223619144.0,15.415441,15415441394067.0,,
2015,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,simple,raytrace,simsmall,1,20.019607305526733,kernel panic,,,,,,,,,,,,,
2016,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,o3,streamcluster,simsmall,2,65.06262278556824,Success,139835428109821.0,17061591053.0,3896116.0,17052819987.0,0.42,773988420469.0,1000000000000.0,7086597770.0,7086597770.0,0.321675,321674983020.0,,
2017,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,simple,canneal,simsmall,2,70.0640516281128,Success,143087778785206.0,3629073612.0,3894072.0,3628772302.0,2.05,3915794938242.0,1000000000000.0,7430259567.0,7430259567.0,8.018048,8018047962963.0,,
2018,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,simple,dedup,simsmall,1,50.05040001869202,Success,109097949936241.0,6266286659.0,3872020.0,6265111308.0,1.15,836281943930.0,1000000000000.0,7203661270.0,7203661270.0,0.961591,961591043403.0,,
2019,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,blackscholes,simsmall,1,25.026754140853882,Success,16210786354966.0,45313763259.0,3856312.0,45210243268.0,0.08,556238160353.0,1000000000000.0,3772046526.0,3772046526.0,0.046427,46427091102.0,,
2020,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,o3,swaptions,simsmall,1,50.04434084892273,Success,106593925765609.0,13493384901.0,3872792.0,13488495648.0,0.48,813510112343.0,1000000000000.0,6446173827.0,6446173827.0,0.388798,388798116363.0,,
2021,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u18,o3,blackscholes,simsmall,8,60.0612096786499,Success,18570521702188.0,38309522214.0,3990272.0,38255536144.0,0.15,326155571755.0,1000000000000.0,5765880605.0,5765880605.0,0.04917,49169822292.0,,
2022,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,o3,raytrace,simsmall,8,170.1565854549408,Success,148295328839722.0,50834025810.0,4026108.0,50808698665.0,0.52,616971608754.0,1000000000000.0,26476233723.0,26476233723.0,0.321524,321524435052.0,,
2023,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,dedup,native,2,135.1144506931305,Success,106169858513353.0,1802787271.0,5202752.0,1802782724.0,70.72,896208737511.0,1000000000000.0,127501441004.0,127501441004.0,63.384203,63384202619730.0,,
2024,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,raytrace,simsmall,8,70.06461715698242,Success,27380962977319.0,53645056736.0,3979936.0,53623441604.0,0.47,570454358392.0,1000000000000.0,25253525849.0,25253525849.0,0.268665,268664930802.0,,
2025,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,facesim,simlarge,2,50.045018434524536,Success,36485924637583.0,4869639519.0,3876820.0,4869489947.0,6.3,847199931533.0,1000000000000.0,30663362567.0,30663362567.0,5.334876,5334875717400.0,,
2026,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,streamcluster,simlarge,1,35.03239727020264,Success,24805902996937.0,2096769296.0,3857332.0,2096735411.0,10.97,886273052181.0,1000000000000.0,23008560472.0,23008560472.0,9.72556,9725559625746.0,,
2027,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,swaptions,simlarge,2,45.05057239532471,Success,25696765547632.0,3648198566.0,3873752.0,3648119695.0,8.71,860299788155.0,1000000000000.0,31787249458.0,31787249458.0,7.496096,7496096244156.0,,
2028,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,freqmine,simsmall,8,65.05996561050415,Success,21627591914845.0,5795878990.0,3977888.0,5794954037.0,1.27,622843203252.0,1000000000000.0,7376985094.0,7376985094.0,0.792901,792900646659.0,,
2029,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,ferret,simlarge,8,80.08042597770691,Success,36208090476190.0,2419153630.0,3984032.0,2419110181.0,12.66,616285852144.0,1000000000000.0,30631258146.0,30631258146.0,7.803558,7803558384246.0,,
2030,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,dedup,simlarge,2,75.07432126998901,Success,52121335169989.0,1311408024.0,4165036.0,1311401336.0,33.51,843187594973.0,1000000000000.0,43944955188.0,43944955188.0,28.255173,28255173444099.0,,
